Date,Close,High,Low,Open,Volume,MA20,MA50,MA200,DailyReturn,CumReturn,BB_Upper,BB_Lower,RSI14
2023-04-12,56.95903015136719,57.267948310036154,56.613771330358865,56.768228676709924,9593700,55.8233,54.7363,54.8252,0.001757,1.261801,57.7973,53.8493,84.55
2023-04-13,57.37698745727539,57.386071757439176,56.768235367284454,57.022637363477365,9871400,55.9678,54.778,54.8325,0.007338,1.27106,57.9531,53.9825,88.92
2023-04-14,57.286128997802734,57.376989332245955,57.04081129375709,57.286128997802734,8946000,56.0927,54.8178,54.8421,-0.001584,1.269047,58.0797,54.1057,82.87
2023-04-17,57.65864944458008,57.72224994762649,57.367903297520066,57.53144843848726,9452400,56.249,54.8839,54.8516,0.006503,1.277299,58.2111,54.2869,82.66
2023-04-18,57.749507904052734,57.785848571778025,57.413329866346785,57.70407600395325,9035700,56.3835,54.9599,54.8608,0.001576,1.279312,58.371,54.396,82.82
2023-04-19,57.85853576660156,57.994824532438834,57.63139013418431,57.90396419989156,9769500,56.5361,55.0321,54.864,0.001888,1.281728,58.4818,54.5904,80.95
2023-04-20,58.11294174194336,58.149285877448975,57.64047837827299,57.81311128894088,10706400,56.7137,55.1111,54.8733,0.004397,1.287364,58.5453,54.8821,82.87
2023-04-21,58.19470977783203,58.39459209772578,57.96756069513954,58.1492778817133,12931100,56.9013,55.198,54.8825,0.001407,1.289175,58.5082,55.2944,82.37
2023-04-24,58.103851318359375,59.048774480161356,57.80401743098435,58.830716622040576,15532300,57.0399,55.2849,54.8934,-0.001561,1.287163,58.5524,55.5274,77.19
2023-04-25,58.012996673583984,58.30374282354528,57.81311086171528,58.30374282354528,12818900,57.1535,55.37,54.9029,-0.001564,1.285149,58.5949,55.7121,79.71
2023-04-26,57.74042510986328,57.9403143964186,57.595052028541495,57.749512877052695,13179600,57.2502,55.432,54.9119,-0.004698,1.279112,58.5648,55.9356,65.18
2023-04-27,57.85853576660156,57.931220566672096,57.3406440019676,57.72224700076429,13795800,57.3329,55.5146,54.9226,0.002046,1.281729,58.5768,56.089,66.41
2023-04-28,58.28556823730469,58.29465600316459,57.67681616547543,57.79493285988418,13687600,57.4374,55.6057,54.9368,0.007381,1.291189,58.6291,56.2457,75.35
2023-05-01,58.42185974121094,58.77620637511169,58.20379494193769,58.285570974648806,9091500,57.5405,55.7062,54.9526,0.002338,1.294208,58.6958,56.3852,79.45
2023-05-02,58.15837097167969,58.27648420769382,57.48601835959349,58.27648420769382,10948400,57.6137,55.7852,54.9656,-0.00451,1.288371,58.7282,56.4992,71.29
2023-05-03,57.831275939941406,58.31282354274685,57.76767544394699,58.16744701936866,11084600,57.6791,55.8634,54.9808,-0.005624,1.281125,58.6709,56.6873,58.33
2023-05-04,57.89488220214844,58.08568370913512,57.704077229194326,57.91305426938061,11938300,57.7209,55.9397,54.9924,0.0011,1.282535,58.6723,56.7695,61.28
2023-05-05,58.16745376586914,58.340086674419865,57.81311057992143,57.82219488070266,9039000,57.7745,56.0194,55.0099,0.004708,1.288573,58.6979,56.8511,59.79
